School,Address,Barangay,City/Municipality,Province,District,Representative,Type of heis,hei_Code
Aim High College Incorporated,"National Highway, Buluan",Buluan,Ipil,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,P,09076
"Alhadeetha Mindanao College, Inc.",Taculing Street,Dalapang,Labangan,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09089
AMA Computer College - Zamboanga,Artstrel Bldg. MCLL Highway,Guiwan,Zamboanga City,Zamboanga del Sur,"2nd District, Zamboanga City",Jerry E. Perez,,09055
"Andres Bonifacio College, Inc.",College Park,,Dipolog City,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,P,09001
Ateneo de Zamboanga University,La Purisima Street,Zone III,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09002
"Aurora Pioneers Memorial College, Inc.",Bonifacio Street,Poblacion,Aurora,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09046
Ave Maria College,Vallesville-Fatima,,Liloy,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,P,09077
Basilan State College,Sumagdang,,Isabela City,Basilan,Lone District (Basilan),Mujiv Hataman,S,09003
"Blancia College Foundation, Incorporated",Mabini Street,,Molave,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09016
Brent Hospital and Colleges Incorporated,R.T. Lim Boulevard,San Jose Cawa-Cawa,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09004
Central Sulu College,"GRV7+RPJ, Siasi, Sulu",,,Sulu,2nd District (Sulu),Abdulmunir M. Arbison,NEW,15002
Claret College of Isabela,Sta. Cruz,Roxas Avenue,Isabela City,Basilan,Lone District (Basilan),Mujiv Hataman,P,09005
Colegio de la Ciudad de Zamboanga,Calle San Vicente,Ayala,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,L,09098
"Colegio de San Francisco Javier of Rizal, Zamboanga del Norte, Incorporated",East Poblacion,,Rizal,Zamboanga del Norte,"1st District, Zamboanga del Norte",Roberto Uy Jr.,P,09056
"Computer Technologies Institute of Zamboanga City, Inc.",Baliwasan Chico Road,Baliwasan,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09058
Dipolog City Institute of Technology,National Highway,Minaog,Dipolog City,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,P,09047
"DMC College Foundation, Inc.","Fr. Patangan Road,, Sta. Filomena",Mibang,Dipolog City,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,P,09006
Dr. Aurelio Mendoza Memorial Colleges,Dr. Aurelio Mendoza Street,,Ipil,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,P,09008
Eastern Mindanao College of Technology,"Broca St., San Jose",,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09061
"Ebenezer Bible College and Seminary, Inc.","Ebnezer Campus, Calarian",Upper Calarian,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09049
"Emmaus College of Theology Foundation, Inc.","Harmony Village, Sinunuc",Sinunuc,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09102
Ferndale College - Zamboanga Peninsula,Veterans Avenue,Zone III,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09100
Hadji Butu School of Arts and Trades,"22W2+X8C, Jolo, Sulu",,Sulu,Sulu,1st District (Sulu),Samier Tan,NEW,15003
"Helping Hands College and Wellness Center, Inc.","Biwa, Titik, Leon B. Postigo, Zamboanga del Norte",,Leon Postigo,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,P,09106
"HMIJ - Foundation Philippine Islamic College, Inc.","BCC Cmpd., Baliwasan Grande",Baliwasan,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09059
"Hyrons College Philippines, Inc.",Sto. Niño,,Tukuran,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09079
Immaculate Conception Archdiocesan School,"Fr. Barua Street, Tetuan",Tetuan,Zamboanga City,Zamboanga del Sur,"2nd District, Zamboanga City",Jerry E. Perez,P,09009
J.H. Cerilles State College - Canuto MS Enerio Campus,Biswangan,,Lakewood,Zamboanga del Sur,"2nd District, Zamboanga del Sur",Jeyzel Victoria C. Yu,S,09051
J.H. Cerilles State College - Dumingag Campus,Caridad,,Dumingag,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,S,09036q
J.H. Cerilles State College - Mati,"National Highway, Mati",,San Miguel,Zamboanga del Sur,"2nd District, Zamboanga del Sur",Jeyzel Victoria C. Yu,S,09036
J.H. Cerilles State College - Pagadian,,,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,S,09036i
Jose Rizal Memorial State University,"Gov. Guading Adasa Street, Sta. Cruz",,Dapitan City,Zamboanga del Norte,"1st District, Zamboanga del Norte",Roberto Uy Jr.,S,09048
Jose Rizal Memorial State University - Dipolog Campus,Gen. Luna St,,Dipolog City,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,S,09053
Jose Rizal Memorial State University - Katipunan Campus,National Highway,,Katipunan,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,S,09012
Jose Rizal Memorial State University - Siocon Campus,Manaol,,Siocon,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,S,09054
Jose Rizal Memorial State University - Tampilisan Campus,ZNAC Rd.,,Tampilisan,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,S,09081
"Juan S. Alano Memorial School, Inc.","Rizal Avenue, Doña Ramona T. Barangay",,Isabela City,Basilan,Lone District (Basilan),Mujiv Hataman,P,09010
Lapak Agricultural School,"GRWF+335, Siasi, Sulu",,Sulu,Sulu,2nd District (Sulu),Abdulmunir M. Arbison,NEW,15005
"Lucan Central Colleges, Inc.","Gov. V.M. Cerilles Street, San Francisco District",,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09071
"Marian College, Inc.","Climaco St., Poblacion",,Ipil,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,P,09014
"Medina College Ipil, Inc.",Purok Mañalac,,Ipil,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,P,09065
"Medina College, Incorporated",Barangay Bulatok,,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09041
"Metro Zampen College, Inc.",Mayor Jaldon Street,Canelar,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09101
Mindanao Autonomous College Foundation Inc. of Isabela City,Vetarans Street,,Isabela City,Basilan,Lone District (Basilan),Mujiv Hataman,NEW,15035
Mindanao State University - Buug,Datu Panas,,Buug,Zamboanga Sibugay,"1st District, Zamboanga Sibugay",Atty. Marlo Bancoro,S,09060
Mindanao State University - Sulu Development Technical College,"Capitol Site 7400, Jolo, Sulu BARMM, Philippines",,Sulu,Sulu,1st District (Sulu),Samier Tan,NEW,15007
Mindanao State University - Tawi-Tawi College of Technology and Oceonography,,,Tawi-Tawi,,Lone District (Tawi-Tawi),Dimszar M. Sali,NEW,15xxxx
Notre Dame Jolo College,"3234+W24, Jolo, Sulu",,,Sulu,1st District (Sulu),Samier Tan,NEW,15009
"Nuevo Zamboanga College, Inc.",NS Valderosa Street,Sta. Maria,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09083
"Our Lady of Triumph Institute of Technology, Inc.","Tugas, Balangasan District",,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09096
"Pagadian Capitol College, Inc","Rizal Avenue, Tuburan District",,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09043
Pagadian City International College,San Jose District,,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,L,09103
Philippine Advent College - Leon B. Postigo Campus,Talinga,,Leon B. Postigo,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,P,09104
Philippine Advent College - Salug Campus,Poblacion East,,Salug,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,P,09085
Philippine Advent College - Sindangan Main Campus,Ramon Magsaysay,,Sindangan,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,P,09017
Philippine Malaya College,,,Mampang,Zamboanga City,"2nd District, Zamboanga City",Jerry E. Perez,NEW,NEW
Philippine Technological and Marine Sciences,Prk. Madanihon Balangasan District,,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09068
"Pilar College of Zamboanga City, Inc.",R.T. Lim Boulevard,San Jose Cawa-Cawa,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09018
"Rizal Memorial Institute of Dapitan City, Inc.",Dr. Heinz Luetke Street,,Dapitan City,Zamboanga del Norte,"1st District, Zamboanga del Norte",Roberto Uy Jr.,P,09019
"Saint Columban College, Inc.","Alano Corner Sagun Streets, San Francisco District",,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09020
"Saint Estanislao Kostka College, Inc.",Sagario Street,,Manukan,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,P,09024
Saint Joseph College of Sindangan Incorporated,Poblacion,,Sindangan,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,P,09022
Sibugay Technical Institute Inc.,"Pobalcion, Lower Taway",,Ipil,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,P,09072
Southern City Colleges - West Campus,San Jose Gusu,San Jose Gusu,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09094
"Southern City Colleges, Inc.",Pilar Street,Zone IV,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09027
Southern Mindanao Colleges,"Jamisola Street, Sta. Lucia District",,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09028
Southern Mindanao Colleges Agro-Tech,Sumadat,,Dumalinao,Zamboanga del Sur,"2nd District, Zamboanga del Sur",Jeyzel Victoria C. Yu,P,09026
"Southern Peninsula College, Inc.","Corner Padre Zamora-Labiano, Gil Sanchez",,Labason,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,P,09070
Southern Philippine College,P.BURGOS ST.,,Labason,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,P,09029
Southwestern Mindanao Islamic Institute,"Serantes St, Jolo, 7400 Sulu",,Sulu,Sulu,1st District (Sulu),Samier Tan,NEW,15025
"St. John College of Buug Foundation, Inc.",Poblacion,,Buug,Zamboanga Sibugay,"1st District, Zamboanga Sibugay",Atty. Marlo Bancoro,P,09021
"St. Mary's College of Labason, Inc.",Manuel L. Quezon St.,,Labason,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,P,09050
St. Vincent's College Incorporated,"Padre Ramon Street, Estaka",,Dipolog City,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,P,09023
"Sulu College of Technology, Inc.","Moore Ave. Brgy, Jolo, Autonomous Region in Muslim Mindanao 7400.",,Sulu,Sulu,1st District (Sulu),Samier Tan,NEW,15065
Sulu State College,Bangkal,,Patikul,Sulu,1st District (Sulu),Samier Tan,NEW,15013
Tawi-Tawi Regional Agricultural Colleges,,,Bongao,Tawi-Tawi,Lone District (Tawi-Tawi),Dimszar M. Sali,NEW,15014
Universidad de Zamboanga,"Don Toribo Street, Tetuan",Tetuan,Zamboanga City,Zamboanga del Sur,"2nd District, Zamboanga City",Jerry E. Perez,P,09031
Universidad de Zamboanga - Ipil,"Sucgang Avenue, Poblacion",,Ipil,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,P,09062
Universidad de Zamboanga - Pagadian Branch Inc.,"Zone 4, Airport Road, Tiguma",,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09074
"West Prime Horizon Institute, Inc.","V. Sagun cor. M. Roxas St., San Francisco District",,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09097
Western Mindanao State University,"Normal Road, Baliwasan",Baliwasan,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,S,09030
Western Mindanao State University - Alicia ESU,Poblacion,,Alicia,Zamboanga Sibugay,"1st District, Zamboanga Sibugay",Atty. Marlo Bancoro,S,09030a
Western Mindanao State University - Curuan ESU,Curuan,Curuan,Zamboanga City,Zamboanga del Sur,"2nd District, Zamboanga City",Jerry E. Perez,S,09030o
Western Mindanao State University - Diplahan ESU,Poblacion,,Diplahan,Zamboanga Sibugay,"1st District, Zamboanga Sibugay",Atty. Marlo Bancoro,S,09030c
Western Mindanao State University - Imelda ESU,,,Imelda,Zamboanga Sibugay,"1st District, Zamboanga Sibugay",Atty. Marlo Bancoro,S,09030d
Western Mindanao State University - Ipil ESU,Purok Corazon,,Ipil,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,S,09030e
Western Mindanao State University - Mabuhay ESU,Poblacion,,Mabuhay,Zamboanga Sibugay,"1st District, Zamboanga Sibugay",Atty. Marlo Bancoro,S,09030f
Western Mindanao State University - Malangas Campus,,,Malangas,Zamboanga Sibugay,"1st District, Zamboanga Sibugay",Atty. Marlo Bancoro,S,09030g
Western Mindanao State University - Molave ESU,Mabini,,Molave,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,S,09030h
Western Mindanao State University - Naga ESU,Sta. Clara,,Naga,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,S,09030n
Western Mindanao State University - Olutanga ESU,Solar,,Olutanga,Zamboanga Sibugay,"1st District, Zamboanga Sibugay",Atty. Marlo Bancoro,S,09030i
Western Mindanao State University - Pagadian ESU,"Roxas Street, Sta. Maria District",,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,S,09030j
Western Mindanao State University - Siay ESU,Poblacion,,Siay,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,S,09030l
Western Mindanao State University - Tungawan ESU,,,Tungawan,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,S,09030m
"Yllana Bay View College, Inc.",Enerio Street Balangasan,,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09087
Zamboanga del Sur Maritime Institute of Technology,F.S. Pajares Avenue,,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,L,09090
Zamboanga del Sur Provincial Government College - Aurora,"Manuel Roxas, Poblacion",,Aurora,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,L,09105
Zamboanga del Sur Provincial Government College - Dimataling,Kagawasan,,Dimataling,Zamboanga del Sur,"2nd District, Zamboanga del Sur",Jeyzel Victoria C. Yu,NEW,NEW-Jos
Zamboanga del Sur Provincial Government College - Josefina,Gumahan,,Josefina,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,NEW,NEW-Lap
Zamboanga del Sur Provincial Government College - Lapuyan,,,Lapuyan,Zamboanga del Sur,"2nd District, Zamboanga del Sur",Jeyzel Victoria C. Yu,NEW,NEW-Mah
Zamboanga del Sur Provincial Government College - Mahayag,,,Mahayag,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,NEW,NEW
Zamboanga del Sur Provincial Government College - Margosatubig,,,Margosatubig,Zamboanga del Sur,"2nd District, Zamboanga del Sur",Jeyzel Victoria C. Yu,NEW,NEW-Mid
Zamboanga del Sur Provincial Government College - Midsalip,"Prk. Maharlika, Pob. A.",,Midsalip,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,NEW,NEW
Zamboanga del Sur Provincial Government College - Molave,,,Molave,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,L,09099
Zamboanga del Sur Provincial Government College - Pagadian,"Urro St., Sto Niño District",,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,NEW,NEW-Ram
Zamboanga del Sur Provincial Government College - Ramon Magsaysay,"Purok 3, Alang Alang",,Ramon Magsaysay,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,NEW,NEW
Zamboanga del Sur Provincial Government College - Tabina,,,Tabina,Zamboanga del Sur,"2nd District, Zamboanga del Sur",Jeyzel Victoria C. Yu,NEW,NEW-Tam
Zamboanga del Sur Provincial Government College - Tambulig,"Purok 6 , Happy Valley",,Tambulig,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,NEW,NEW-Tig
Zamboanga del Sur Provincial Government College - Tigbao,Purok 1,,Tigbao,Zamboanga del Sur,"2nd District, Zamboanga del Sur",Jeyzel Victoria C. Yu,NEW,NEW-Tuk
Zamboanga del Sur Provincial Government College - Tukuran,National Highway,,Tukuran,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,NEW,NEW-Vin
Zamboanga del Sur Provincial Government College - Vincenzo Sagun,Purok Gumamela,,Vincenzo Sagun,Zamboanga del Sur,"2nd District, Zamboanga del Sur",Jeyzel Victoria C. Yu,S,09032
Zamboanga Peninsula Polytechic State University,"R.T. Lim Boulevard, Baliwasan",Baliwasan,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,S,NEW
Zamboanga Peninsula Polytechic State University - Kabasalan,,,,Zamboanga del Sur,"2nd District, Zamboanga del Sur",Jeyzel Victoria C. Yu,S,09086
Zamboanga Peninsula Polytechic State University - Malangas,,,,Zamboanga del Sur,"2nd District, Zamboanga del Sur",Jeyzel Victoria C. Yu,S,09108
Zamboanga Peninsula Polytechic State University - Siay,,,Siay,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,S,09107
Zamboanga Peninsula Polytechic State University - Vitali,,,Vitali,Zamboanga City,"2nd District, Zamboanga City",Jerry E. Perez,S,09091
Zamboanga State College of Marine Sciences and Technology,Fort Pilar,Rio Hondo,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,S,09035
ZAMSULA Everlasting College,Poblacion East,,Salug,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,P,09095
,,,,,,,,
,,,,,,,,
